,train_acc,test_acc,train_loss,test_loss
epoch_48,0.7986369729042053,0.8115000128746033,0.4079998985196352,0.3901336660385132
epoch_49,0.7986065149307251,0.8115000128746033,0.40752838623762133,0.38831319999694824
epoch_50,0.7989109754562378,0.8084999918937683,0.40738386871170995,0.39103031921386716
epoch_51,0.7991210222244263,0.8059999942779541,0.4068392892320156,0.3947217845916748
epoch_52,0.7995929718017578,0.8140000104904175,0.40600935173201563,0.38773661565780637
epoch_53,0.7996569871902466,0.8184999823570251,0.4058511569917202,0.3819244813919067
epoch_54,0.8002884984016418,0.8165000081062317,0.40527705623817445,0.3863331255912781
epoch_55,0.8002380132675171,0.8255000114440918,0.40507763759469984,0.38313435983657834
epoch_56,0.8003535270690918,0.8105000257492065,0.4046276080416441,0.3902319786548615
epoch_57,0.8008275032043457,0.8215000033378601,0.40411879946208,0.38544705319404604
epoch_58,0.8008869886398315,0.8105000257492065,0.40404099089753626,0.3888114128112793
epoch_59,0.8014194965362549,0.8105000257492065,0.403208645375967,0.3840567152500153
epoch_60,0.8016989827156067,0.8119999766349792,0.40265612578105925,0.38798892402648927
epoch_61,0.8017334938049316,0.8130000233650208,0.40270538291335106,0.3840895023345947
epoch_62,0.8016719818115234,0.8190000057220459,0.4026117887021303,0.38238512134552
epoch_63,0.8019670248031616,0.8109999895095825,0.40188971186852457,0.38526333808898927
epoch_64,0.8024634718894958,0.8234999775886536,0.4015587296112776,0.3814148042201996
epoch_65,0.8025035262107849,0.8149999976158142,0.4012000964347124,0.38248361778259277
epoch_66,0.80281001329422,0.8159999847412109,0.4012452801048756,0.3862419786453247
epoch_67,0.8029569983482361,0.8199999928474426,0.4009598951970339,0.381877028465271
epoch_68,0.8031200170516968,0.824999988079071,0.4003749665412903,0.37934843373298643
epoch_69,0.8032724857330322,0.8215000033378601,0.40002387770438197,0.3756284115314484
epoch_70,0.8032205104827881,0.8234999775886536,0.3997747810778618,0.3839802079200745
epoch_71,0.8037160038948059,0.815500020980835,0.39934609654164316,0.3838974506855011
epoch_72,0.8037195205688477,0.8199999928474426,0.3997275719492435,0.3879276602268219
epoch_73,0.8041934967041016,0.8270000219345093,0.39912575113809107,0.37900617241859436
epoch_74,0.8039720058441162,0.8234999775886536,0.39910215298068524,0.3778128843307495
epoch_75,0.804083526134491,0.8184999823570251,0.3984637426065207,0.38728521251678466
epoch_76,0.8042410016059875,0.824999988079071,0.3983072043917179,0.3783460052013397
epoch_77,0.8046075105667114,0.8134999871253967,0.3976829086352587,0.3815835976600647
epoch_78,0.8047699928283691,0.8230000138282776,0.3977046001828909,0.3757250633239746
epoch_79,0.8048689961433411,0.8295000195503235,0.3977576317563057,0.3765118863582611
epoch_80,0.8051415085792542,0.8149999976158142,0.3970135971037149,0.3820810213088989
epoch_81,0.8050035238265991,0.8215000033378601,0.3970735345020294,0.3841966042518616
epoch_82,0.8050259947776794,0.8190000057220459,0.396990035173893,0.3814643306732178
epoch_83,0.8051245212554932,0.8199999928474426,0.3968268326308727,0.3833090500831604
epoch_84,0.8056780099868774,0.8174999952316284,0.3964859984099865,0.38245435333251954
epoch_85,0.8057454824447632,0.8215000033378601,0.3956469175950289,0.37894466400146487
epoch_86,0.8058149814605713,0.8299999833106995,0.39604583539032934,0.37559306573867796
epoch_87,0.8062819838523865,0.8240000009536743,0.3953113638950586,0.37499638056755064
epoch_88,0.8059415221214294,0.8184999823570251,0.39518527254676816,0.37785476660728456
epoch_89,0.8061544895172119,0.8224999904632568,0.3956458745074272,0.38485155248641967
epoch_90,0.8064625263214111,0.824999988079071,0.39490962615597247,0.3776422119140625
epoch_91,0.806306004524231,0.828499972820282,0.39499294643986227,0.3737946712970734
epoch_92,0.8062670230865479,0.8195000290870667,0.3947750699621439,0.3834831836223602
epoch_93,0.8066135048866272,0.8220000267028809,0.39468502278971673,0.37941864919662477
epoch_94,0.8067734837532043,0.8215000033378601,0.39411790007901193,0.38111871886253357
epoch_95,0.8070260286331177,0.8230000138282776,0.3942695331355333,0.37825596380233767
epoch_96,0.8068770170211792,0.8190000057220459,0.3943842821965218,0.3794907422065735
