,train_acc,test_acc,train_loss,test_loss
epoch_114,0.5840039849281311,0.5544999837875366,0.6666399820508957,0.6823990497589111
epoch_115,0.5844929814338684,0.5540000200271606,0.6663273392915726,0.6842370429039002
epoch_116,0.5844215154647827,0.559499979019165,0.6663965263214111,0.6782347278594971
epoch_117,0.5848249793052673,0.546500027179718,0.6661420417346955,0.6843961238861084
epoch_118,0.5849815011024475,0.5625,0.666034755405426,0.6786097207069397
epoch_119,0.5853809714317322,0.5504999756813049,0.6658346399440765,0.6812951850891114
epoch_120,0.5854589939117432,0.5565000176429749,0.6657849619588851,0.6793425931930542
epoch_121,0.5852705240249634,0.5504999756813049,0.665514097694397,0.6836112480163574
epoch_122,0.5859709978103638,0.5569999814033508,0.6654825427532196,0.681465461730957
epoch_123,0.585997998714447,0.5490000247955322,0.6652816996912956,0.6831649780273438
epoch_124,0.5861974954605103,0.546500027179718,0.6652158161964417,0.68661674451828
epoch_125,0.5862895250320435,0.5605000257492065,0.6650883991994858,0.6761534147262573
epoch_126,0.5865240097045898,0.5519999861717224,0.6649465538311005,0.6812931022644043
epoch_127,0.5870029926300049,0.5674999952316284,0.6646658524751663,0.6782793636322022
epoch_128,0.5867289900779724,0.5590000152587891,0.66480447539711,0.679249345779419
epoch_129,0.5872434973716736,0.5630000233650208,0.6644664600901604,0.6809630975723266
epoch_130,0.5871744751930237,0.5554999709129333,0.6645199717292786,0.6817112526893616
epoch_131,0.5868890285491943,0.5605000257492065,0.6646068369674683,0.6821995992660522
epoch_132,0.5874655246734619,0.5550000071525574,0.6643000465288162,0.6824202141761779
epoch_133,0.5878584980964661,0.5665000081062317,0.6640437799272537,0.6777268629074097
epoch_134,0.5882049798965454,0.5615000128746033,0.6638711333332061,0.6796554245948792
epoch_135,0.5881555080413818,0.5695000290870667,0.6640554677190781,0.6778263745307922
epoch_136,0.5882304906845093,0.5575000047683716,0.663661065583229,0.6815389881134033
epoch_137,0.5884224772453308,0.5584999918937683,0.6632798078417778,0.6793011617660523
epoch_138,0.5886874794960022,0.5605000257492065,0.6630683662295341,0.6798675422668456
epoch_139,0.5887935161590576,0.5630000233650208,0.6629371415243149,0.6780348029136658
epoch_140,0.5886690020561218,0.5584999918937683,0.6627792210502624,0.6762493281364441
epoch_141,0.5887805223464966,0.5600000023841858,0.662560215013504,0.6807392239570618
epoch_142,0.5893229842185974,0.5669999718666077,0.662289321445465,0.6737864818572998
epoch_143,0.589381992816925,0.5640000104904175,0.6620131884527206,0.6738219871520996
epoch_144,0.5898764729499817,0.5554999709129333,0.661755713224411,0.6782373561859131
epoch_145,0.5896210074424744,0.5534999966621399,0.6615806337013245,0.6828774433135987
epoch_146,0.5901834964752197,0.5640000104904175,0.6615088609781266,0.6792029528617859
epoch_147,0.5900754928588867,0.5720000267028809,0.6615186246600151,0.6756913909912109
epoch_148,0.590008020401001,0.5649999976158142,0.6614251459980011,0.6763870973587036
epoch_149,0.5903595089912415,0.5619999766349792,0.6612843120012283,0.6798465762138367
epoch_150,0.5902705192565918,0.5674999952316284,0.6613013778605461,0.6762628798484802
epoch_151,0.5900524854660034,0.5569999814033508,0.6613104392294884,0.6775109658241272
epoch_152,0.5904704928398132,0.5609999895095825,0.6611547703123093,0.6779986925125122
epoch_153,0.5908704996109009,0.5630000233650208,0.661041302737236,0.675688154220581
epoch_154,0.5904579758644104,0.5684999823570251,0.6608823376746178,0.6780878982543945
epoch_155,0.5906515121459961,0.5720000267028809,0.6608835356292725,0.6748361973762512
epoch_156,0.5911394953727722,0.5605000257492065,0.66079413103199,0.6761589269638062
epoch_157,0.5910544991493225,0.5640000104904175,0.6607371560559273,0.677123348236084
epoch_158,0.5911139845848083,0.5665000081062317,0.660824024702549,0.6742531237602234
epoch_159,0.591346025466919,0.5774999856948853,0.66058565417099,0.6701762342453003
epoch_160,0.5915715098381042,0.5625,0.6605164138269425,0.6794312162399292
epoch_161,0.5916659832000732,0.559499979019165,0.6604447667865753,0.6807829418182373
epoch_162,0.5918790102005005,0.5684999823570251,0.6601522234916687,0.6747405753135681
epoch_163,0.5915539860725403,0.5680000185966492,0.6604681783556938,0.6739789099693299
epoch_164,0.5919479727745056,0.5665000081062317,0.6603264147558212,0.6763919315338135
epoch_165,0.5919345021247864,0.5705000162124634,0.6602604074616433,0.6733400220870972
epoch_166,0.5921549797058105,0.5669999718666077,0.6601727346200943,0.6786382765769958
epoch_167,0.5923035144805908,0.5734999775886536,0.6601106162514686,0.6746813607215881
epoch_168,0.5921549797058105,0.5619999766349792,0.6603223230876922,0.681388008594513
epoch_169,0.591902494430542,0.5665000081062317,0.6601222469453811,0.676993914604187
epoch_170,0.5923309922218323,0.5759999752044678,0.6601669857654572,0.6741739716529846
epoch_171,0.5926060080528259,0.565500020980835,0.6599654495272637,0.6785396385192871
epoch_172,0.592553973197937,0.565500020980835,0.6599544830918312,0.6756142568588257
epoch_173,0.5928099751472473,0.5755000114440918,0.6598126082906723,0.6753622674942017
epoch_174,0.5926384925842285,0.5740000009536743,0.6598063244643211,0.6750826244354248
epoch_175,0.5934590101242065,0.5669999718666077,0.659629468155384,0.6767297835350037
epoch_176,0.5928084850311279,0.5609999895095825,0.659745703107357,0.6801173663139344
